,0,1,2
162,ᰢ,LEPCHA LETTER WA (U+1C22),e1b0a2
163,ᰣ,LEPCHA LETTER A (U+1C23),e1b0a3
164,ᰤ,LEPCHA SUBJOINED LETTER YA (U+1C24),e1b0a4
165,ᰥ,LEPCHA SUBJOINED LETTER RA (U+1C25),e1b0a5
166,ᰦ,LEPCHA VOWEL SIGN AA (U+1C26),e1b0a6
167,ᰧ,LEPCHA VOWEL SIGN I (U+1C27),e1b0a7
168,ᰨ,LEPCHA VOWEL SIGN O (U+1C28),e1b0a8
169,ᰩ,LEPCHA VOWEL SIGN OO (U+1C29),e1b0a9
170,ᰪ,LEPCHA VOWEL SIGN U (U+1C2A),e1b0aa
171,ᰫ,LEPCHA VOWEL SIGN UU (U+1C2B),e1b0ab
172,ᰬ,LEPCHA VOWEL SIGN E (U+1C2C),e1b0ac
173,ᰭ,LEPCHA CONSONANT SIGN K (U+1C2D),e1b0ad
174,ᰮ,LEPCHA CONSONANT SIGN M (U+1C2E),e1b0ae
175,ᰯ,LEPCHA CONSONANT SIGN L (U+1C2F),e1b0af
176,ᰰ,LEPCHA CONSONANT SIGN N (U+1C30),e1b0b0
177,ᰱ,LEPCHA CONSONANT SIGN P (U+1C31),e1b0b1
178,ᰲ,LEPCHA CONSONANT SIGN R (U+1C32),e1b0b2
179,ᰳ,LEPCHA CONSONANT SIGN T (U+1C33),e1b0b3
180,ᰴ,LEPCHA CONSONANT SIGN NYIN-DO (U+1C34),e1b0b4
181,ᰵ,LEPCHA CONSONANT SIGN KANG (U+1C35),e1b0b5
182,ᰶ,LEPCHA SIGN RAN (U+1C36),e1b0b6
183,᰷,LEPCHA SIGN NUKTA (U+1C37),e1b0b7
184,᰻,LEPCHA PUNCTUATION TA-ROL (U+1C3B),e1b0bb
185,᰼,LEPCHA PUNCTUATION NYET THYOOM TA-ROL (U+1C3C),e1b0bc
186,᰽,LEPCHA PUNCTUATION CER-WA (U+1C3D),e1b0bd
187,᰾,LEPCHA PUNCTUATION TSHOOK CER-WA (U+1C3E),e1b0be
188,᰿,LEPCHA PUNCTUATION TSHOOK (U+1C3F),e1b0bf
189,᱀,LEPCHA DIGIT ZERO (U+1C40),e1b180
190,᱁,LEPCHA DIGIT ONE (U+1C41),e1b181
191,᱂,LEPCHA DIGIT TWO (U+1C42),e1b182
192,᱃,LEPCHA DIGIT THREE (U+1C43),e1b183
193,᱄,LEPCHA DIGIT FOUR (U+1C44),e1b184
194,᱅,LEPCHA DIGIT FIVE (U+1C45),e1b185
195,᱆,LEPCHA DIGIT SIX (U+1C46),e1b186
196,᱇,LEPCHA DIGIT SEVEN (U+1C47),e1b187
197,᱈,LEPCHA DIGIT EIGHT (U+1C48),e1b188
198,᱉,LEPCHA DIGIT NINE (U+1C49),e1b189
199,ᱍ,LEPCHA LETTER TTA (U+1C4D),e1b18d
200,ᱎ,LEPCHA LETTER TTHA (U+1C4E),e1b18e
201,ᱏ,LEPCHA LETTER DDA (U+1C4F),e1b18f
202,᱐,OL CHIKI DIGIT ZERO (U+1C50),e1b190
203,᱑,OL CHIKI DIGIT ONE (U+1C51),e1b191
204,᱒,OL CHIKI DIGIT TWO (U+1C52),e1b192
205,᱓,OL CHIKI DIGIT THREE (U+1C53),e1b193
206,᱔,OL CHIKI DIGIT FOUR (U+1C54),e1b194
207,᱕,OL CHIKI DIGIT FIVE (U+1C55),e1b195
208,᱖,OL CHIKI DIGIT SIX (U+1C56),e1b196
209,᱗,OL CHIKI DIGIT SEVEN (U+1C57),e1b197
210,᱘,OL CHIKI DIGIT EIGHT (U+1C58),e1b198
211,᱙,OL CHIKI DIGIT NINE (U+1C59),e1b199
212,ᱚ,OL CHIKI LETTER LA (U+1C5A),e1b19a
213,ᱛ,OL CHIKI LETTER AT (U+1C5B),e1b19b
214,ᱜ,OL CHIKI LETTER AG (U+1C5C),e1b19c
215,ᱝ,OL CHIKI LETTER ANG (U+1C5D),e1b19d
216,ᱞ,OL CHIKI LETTER AL (U+1C5E),e1b19e
217,ᱟ,OL CHIKI LETTER LAA (U+1C5F),e1b19f
218,ᱠ,OL CHIKI LETTER AAK (U+1C60),e1b1a0
219,ᱡ,OL CHIKI LETTER AAJ (U+1C61),e1b1a1
220,ᱢ,OL CHIKI LETTER AAM (U+1C62),e1b1a2
221,ᱣ,OL CHIKI LETTER AAW (U+1C63),e1b1a3
222,ᱤ,OL CHIKI LETTER LI (U+1C64),e1b1a4
223,ᱥ,OL CHIKI LETTER IS (U+1C65),e1b1a5
224,ᱦ,OL CHIKI LETTER IH (U+1C66),e1b1a6
225,ᱧ,OL CHIKI LETTER INY (U+1C67),e1b1a7
226,ᱨ,OL CHIKI LETTER IR (U+1C68),e1b1a8
227,ᱩ,OL CHIKI LETTER LU (U+1C69),e1b1a9
228,ᱪ,OL CHIKI LETTER UC (U+1C6A),e1b1aa
229,ᱫ,OL CHIKI LETTER UD (U+1C6B),e1b1ab
230,ᱬ,OL CHIKI LETTER UNN (U+1C6C),e1b1ac
231,ᱭ,OL CHIKI LETTER UY (U+1C6D),e1b1ad
232,ᱮ,OL CHIKI LETTER LE (U+1C6E),e1b1ae
233,ᱯ,OL CHIKI LETTER EP (U+1C6F),e1b1af
234,ᱰ,OL CHIKI LETTER EDD (U+1C70),e1b1b0
235,ᱱ,OL CHIKI LETTER EN (U+1C71),e1b1b1
236,ᱲ,OL CHIKI LETTER ERR (U+1C72),e1b1b2
237,ᱳ,OL CHIKI LETTER LO (U+1C73),e1b1b3
238,ᱴ,OL CHIKI LETTER OTT (U+1C74),e1b1b4
239,ᱵ,OL CHIKI LETTER OB (U+1C75),e1b1b5
240,ᱶ,OL CHIKI LETTER OV (U+1C76),e1b1b6
241,ᱷ,OL CHIKI LETTER OH (U+1C77),e1b1b7
242,ᱸ,OL CHIKI MU TTUDDAG (U+1C78),e1b1b8
243,ᱹ,OL CHIKI GAAHLAA TTUDDAAG (U+1C79),e1b1b9
